[2026-04-12 12:00:35,200: INFO: main: 3: This is a log message from main.py]
[2026-04-14 10:19:52,074: INFO: common: 30: YAML file 'config\config.yaml' read successfully.]
[2026-04-14 10:19:52,077: ERROR: common: 33: Error reading YAML file 'config\config.yaml': First argument must be mapping or iterable]
[2026-04-14 10:21:25,766: INFO: common: 30: YAML file 'config\config.yaml' read successfully.]
[2026-04-14 10:21:25,768: ERROR: common: 33: Error reading YAML file 'config\config.yaml': First argument must be mapping or iterable]
[2026-04-14 10:21:38,175: INFO: common: 30: YAML file 'config\config.yaml' read successfully.]
[2026-04-14 10:21:38,179: ERROR: common: 33: Error reading YAML file 'config\config.yaml': First argument must be mapping or iterable]
[2026-04-14 10:23:48,270: INFO: common: 31: YAML file 'config\config.yaml' read successfully.]
[2026-04-14 10:23:48,273: ERROR: common: 34: Error reading YAML file 'config\config.yaml': First argument must be mapping or iterable]
[2026-04-14 10:28:32,324: ERROR: common: 37: An unexpected error occurred while reading YAML file 'config\config.yaml': [Errno 2] No such file or directory: 'config\\config.yaml']
[2026-04-14 10:28:42,682: INFO: common: 31: YAML file 'config\config.yaml' read successfully.]
[2026-04-14 10:28:42,686: INFO: common: 31: YAML file 'params.yaml' read successfully.]
[2026-04-14 10:31:59,832: ERROR: common: 37: An unexpected error occurred while reading YAML file 'config\config.yaml': [Errno 2] No such file or directory: 'config\\config.yaml']
[2026-04-14 10:37:33,425: ERROR: common: 37: An unexpected error occurred while reading YAML file 'config\config.yaml': [Errno 2] No such file or directory: 'config\\config.yaml']
[2026-04-14 10:39:43,069: ERROR: common: 37: An unexpected error occurred while reading YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\src\config\config.yaml': [Errno 2] No such file or directory: 'C:\\Users\\mecenturion\\Desktop\\MARTIN\\UDEMY\\MLOPS\\TextSummarizer\\textsummarizer\\src\\config\\config.yaml']
[2026-04-14 10:42:02,766: ERROR: common: 37: An unexpected error occurred while reading YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\src\config\config.yaml': [Errno 2] No such file or directory: 'C:\\Users\\mecenturion\\Desktop\\MARTIN\\UDEMY\\MLOPS\\TextSummarizer\\textsummarizer\\src\\config\\config.yaml']
[2026-04-14 10:42:09,698: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\config\config.yaml' read successfully.]
[2026-04-14 10:42:09,701: INFO: common: 31: YAML file 'C:\Users\mecenturion\Desktop\MARTIN\UDEMY\MLOPS\TextSummarizer\textsummarizer\params.yaml' read successfully.]
